Well,Strain,Pixel_33_37_Values,Pixel_33_37_Avg,Min_Value,Difference_33_37_Avg_Min,Fraction_33_37_Avg_Min
Well 3-6,cc-2670,"[np.float64(42.0), np.float64(40.36363636363637), np.float64(42.36363636363637), np.float64(44.63636363636363), np.float64(47.45454545454545)]",43.36363636363636,14.272727272727273,29.090909090909086,3.0382165605095537
Well 3-7,cc-2670,"[np.float64(44.45454545454545), np.float64(45.27272727272727), np.float64(34.54545454545455), np.float64(36.18181818181818), np.float64(38.81818181818182)]",39.85454545454545,16.363636363636363,23.49090909090909,2.4355555555555553
Well 3-8,cc-2670,"[np.float64(43.18181818181818), np.float64(43.72727272727273), np.float64(35.72727272727273), np.float64(38.27272727272727), np.float64(41.27272727272727)]",40.43636363636364,13.181818181818182,27.254545454545458,3.067586206896552
Well 3-9,cc-2670,"[np.float64(41.0), np.float64(43.0), np.float64(44.63636363636363), np.float64(31.636363636363637), np.float64(33.18181818181818)]",38.69090909090909,14.818181818181818,23.872727272727268,2.6110429447852757
Well 3-10,cc-2670,"[np.float64(40.81818181818182), np.float64(42.72727272727273), np.float64(44.54545454545455), np.float64(45.27272727272727), np.float64(30.0)]",40.67272727272727,12.272727272727273,28.4,3.3140740740740737
Well 3-11,cc-2670,"[np.float64(43.0), np.float64(30.818181818181817), np.float64(29.363636363636363), np.float64(28.09090909090909), np.float64(29.272727272727273)]",32.10909090909091,14.818181818181818,17.29090909090909,2.1668711656441717
Well 4-1,cc-2670,"[np.float64(29.181818181818183), np.float64(29.454545454545453), np.float64(29.818181818181817), np.float64(35.81818181818182), np.float64(37.36363636363637)]",32.32727272727273,17.727272727272727,14.600000000000001,1.8235897435897437
Well 4-2,cc-2670,"[np.float64(31.363636363636363), np.float64(31.727272727272727), np.float64(30.90909090909091), np.float64(39.36363636363637), np.float64(41.45454545454545)]",34.96363636363636,17.818181818181817,17.145454545454545,1.9622448979591838
Well 4-3,cc-2670,"[np.float64(33.72727272727273), np.float64(31.90909090909091), np.float64(40.54545454545455), np.float64(42.63636363636363), np.float64(44.36363636363637)]",38.63636363636364,15.454545454545455,23.181818181818187,2.5
Well 4-4,cc-2670,"[np.float64(40.72727272727273), np.float64(41.09090909090909), np.float64(39.54545454545455), np.float64(38.63636363636363), np.float64(37.0)]",39.4,18.272727272727273,21.127272727272725,2.156218905472637
Well 4-5,cc-2670,"[np.float64(45.27272727272727), np.float64(44.36363636363637), np.float64(39.81818181818182), np.float64(41.27272727272727), np.float64(45.09090909090909)]",43.16363636363637,17.727272727272727,25.436363636363645,2.4348717948717953
