total_time,total_distance,net_distance,max_sprint_length,confinement_ratio,mean_curvilinear_speed,mean_linear_speed,mean_angular_speed,num_rotations,num_direction_changes,pivot_rate,cell_count,strain,drug,hours_in_drug,concentration,well_ID
20.0,158.4772715491073,104.65481148621579,3.917805262690205,0.6603774185611623,7.923863577455364,5.23274057431079,1.8955721525959346,0.0,12,0.07572063730464697,22,CC-125,tor,18,12.5,WellA01
20.0,173.75492579192195,52.195680226047884,4.051304585285948,0.3003982764123428,8.687746289596097,2.609784011302394,2.0990385542746375,1.0,26,0.14963604560561336,22,CC-125,tor,18,12.5,WellA01
20.0,215.86829812578236,62.26258786847496,5.887091883776776,0.2884285854340489,10.793414906289119,3.113129393423748,2.4527459357147716,0.0,30,0.13897362540246447,22,CC-125,tor,18,12.5,WellA01
16.0,245.1999024222198,119.93236945796438,6.700431775335602,0.4891207878682101,15.324993901388737,7.495773091122774,1.6139419856367554,0.0,19,0.07748779592613018,22,CC-125,tor,18,12.5,WellA01
18.0,407.9586207031697,205.97438705422036,11.53026740866099,0.5048903898615912,22.66436781684276,11.443021503012242,3.143965456161811,2.0,28,0.0686344118718177,22,CC-125,tor,18,12.5,WellA01
20.0,222.04122915456117,159.4951195871589,11.09684102456248,0.7183130817391378,11.102061457728059,7.974755979357946,1.7394006398938948,0.0,21,0.09457703004058793,22,CC-125,tor,18,12.5,WellA01
17.400000000000002,452.1400599232008,116.98606316760986,11.12381606378409,0.2587385492616619,25.98506091512648,6.723336963655738,2.325492614025403,2.0,23,0.050869193063553614,22,CC-125,tor,18,12.5,WellA01
17.05,219.38758739039443,111.7984512828358,4.99639527551372,0.5095933302912594,12.867307178322253,6.557093916881865,1.752581262562132,1.0,15,0.06837214529055327,22,CC-125,tor,18,12.5,WellA01
16.1,341.7033248035666,206.25965118000937,7.687179203284906,0.6036220200625232,21.223808994010348,12.811158458385673,1.0031882282316074,1.0,13,0.038044698591894736,22,CC-125,tor,18,12.5,WellA01
15.350000000000001,231.87783904866131,106.30433858032315,6.554175479009501,0.458449755338691,15.106048146492592,6.925364076894016,1.4221567123345553,0.0,11,0.04743877226530288,22,CC-125,tor,18,12.5,WellA01
13.100000000000001,149.8104531189237,74.15655819941206,4.575374387559975,0.49500256260852854,11.435912451826235,5.6608059694207675,1.5033997032059603,0.0,13,0.08677632120690697,22,CC-125,tor,18,12.5,WellA01
13.3,192.62832967609066,105.55901882241227,6.119193103972323,0.547993220934389,14.483333058352681,7.936768332512201,1.6784016403426045,1.0,11,0.05710478836885922,22,CC-125,tor,18,12.5,WellA01
11.75,279.8548451137284,193.71954032665104,10.506942928442513,0.6922143522222265,23.81743362670029,16.486769389502218,1.3120664831063829,0.0,8,0.028586247977050144,22,CC-125,tor,18,12.5,WellA01
13.450000000000001,171.65075909261705,127.75800475535398,5.347943904405554,0.7442903569475041,12.762138222499408,9.49873641303747,1.4975041732685819,0.0,12,0.06990939080860807,32,CC-125,tak,18,12.5,WellA02
10.350000000000001,249.22675325227036,47.4658756957317,15.856152236984457,0.19045257010464747,24.079879541282157,4.586074946447506,3.841840333315014,2.0,31,0.12438472032182445,32,CC-125,tak,18,12.5,WellA02
20.0,309.4243672889574,113.41264619746107,6.799670150132258,0.3665278439158935,15.47121836444787,5.670632309873054,1.9493159524131523,3.0,22,0.07109976564791744,32,CC-125,tak,18,12.5,WellA02
12.15,300.3614005559516,76.9564655787907,13.148292821353948,0.2562129003139176,24.72110292641577,6.333865479735859,2.744873628509055,0.0,24,0.07990374247682087,32,CC-125,tak,18,12.5,WellA02
20.0,322.5234316193359,133.21625806659515,7.772008894868321,0.4130436582475224,16.126171580966794,6.660812903329758,2.6419833006898408,1.0,27,0.08371484783117165,32,CC-125,tak,18,12.5,WellA02
11.850000000000001,243.3968413533868,36.514050373501526,8.395105138957002,0.1500185876302599,20.53981783572884,3.0813544618988624,4.314284216022977,4.0,35,0.14379808630788127,32,CC-125,tak,18,12.5,WellA02
20.0,248.9385392922709,38.82060156893326,6.512162464461113,0.1559445222073679,12.446926964613544,1.9410300784466632,2.81992254729187,5.0,35,0.14059695256308868,32,CC-125,tak,18,12.5,WellA02
17.75,232.94529230792782,39.58987396503936,12.30797369247486,0.16995352673925662,13.123678439883257,2.2304154346501046,1.885596133845429,0.0,29,0.12449274983271703,32,CC-125,tak,18,12.5,WellA02
13.4,160.09421436296844,102.13505510769073,8.006901434229665,0.637968433238495,11.947329430072271,7.622019037887368,2.060926791196931,0.0,17,0.10618747259321501,32,CC-125,tak,18,12.5,WellA02
20.0,258.6452614453669,146.985445983944,6.373784001267978,0.568289730739921,12.932263072268345,7.3492722991972,1.7519503487483308,0.0,28,0.10825638112807408,32,CC-125,tak,18,12.5,WellA02
18.2,671.4103858136748,115.68372090563115,13.032463006768182,0.17229957020315576,36.8906805392129,6.356248401408305,5.453351218471407,15.0,63,0.09383232867875733,32,CC-125,tak,18,12.5,WellA02
20.0,279.83008828400057,59.45331000675615,6.861185468625308,0.2124621779285463,13.991504414200028,2.9726655003378073,2.307444863609341,0.0,27,0.09648712247339751,32,CC-125,tak,18,12.5,WellA02
11.200000000000001,324.5266862483311,21.62137246890238,9.787360811448593,0.06662432824509688,28.97559698645813,1.9304796847234265,5.195000250158666,9.0,39,0.1201750168864597,32,CC-125,tak,18,12.5,WellA02
17.400000000000002,254.18957135335722,145.01011446089558,5.910289091766398,0.5704801880298711,14.608596054790643,8.3339146241894,1.6371844078469149,0.0,19,0.0747473623675437,32,CC-125,tak,18,12.5,WellA02
